Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
24-11-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,37.8,135,336
27-11-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.5,43.9,135,386
28-11-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,4.9,37.7,141,323
12/6/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,36.7,122,313
12/8/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.3,37.7,131,356
12/10/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.5,37.3,133,345
12/12/2007,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.2,33.3,124,334
14-12-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.6,34.9,121,365
16-12-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.5,34.5,111,337
18-12-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.5,33.7,115,356
20-12-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,34,124,351
22-12-07,Andhra Pradesh,Hyderabad,C.I.T.D. Balanagar,Industrial Areas,5.4,32.5,123,331
2/1/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,NA,NA,91,132
2/5/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,7,12.1,86,172
2/7/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,5.8,16.4,56,121
2/11/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,6.4,14.5,42,104
13-02-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,6.1,16,52,159
19-02-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,6.2,5.3,43,96
23-02-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,7.1,NA,60,113
27-02-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,4.3,NA,43,131
3/5/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,6.4,5.6,65,138
3/7/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,3.9,9.3,57,122
3/11/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,2.7,NA,50,113
13-03-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,3.5,NA,42,114
21-03-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,3.5,NA,69,146
23-03-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,2.9,NA,53,154
27-03-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,3.7,NA,69,180
29-03-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,4.5,5.7,59,184
6/4/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,NA,NA,37,110
6/7/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,NA,NA,32,78
6/11/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,NA,NA,55,115
13-06-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,NA,NA,43,113
17-06-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,NA,NA,30,96
19-06-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,NA,NA,34,85
22-06-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,NA,NA,NA,NA
27-06-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,NA,NA,35,101
8/2/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,6.3,21.7,20,62
8/6/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,7.1,21.3,16,63
8/8/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,6.4,12.5,44,75
8/12/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,8.1,11.2,39,97
16-08-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,5.1,13.2,41,100
21-08-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,6.7,25,50,91
24-08-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,2.9,7.1,30,77
29-08-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,6.2,18.8,66,149
10/3/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,2.5,17.1,45,105
10/7/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,3.7,9.6,39,107
10/9/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,3.4,11,59,130
10/12/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,2.8,12,49,109
17-10-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,2.8,9.3,62,112
23-10-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,3.9,15.9,33,60
25-10-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,2.4,11.4,58,121
29-10-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,2.4,12.8,59,116
11/4/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,NA,22.6,24,68
11/6/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,NA,12.7,57,111
11/12/2007,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,2.5,12.5,42,94
15-11-07,Andhra Pradesh,Hyderabad,Nacharam,Industrial Areas,3.1,12.4,49,111
