Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
240,October_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,9.1,16.2,NA,40
240,November_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,4.1,13.7,NA,38
240,December_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,3.8,9.8,NA,33
240,Annual_1995,Tamil Nadu,Tuticorin,Tamil Nadu Pollution Control Board,NA,9.3,16.5,NA,37
20006,January_1995,Tamil Nadu,Tuticorin,TNPC,Industrial Area,3.2,9.7,NA,38
20006,February_1995,Tamil Nadu,Tuticorin,TNPC,Industrial Area,6.6,20.5,NA,46
20006,March_1995,Tamil Nadu,Tuticorin,TNPC,Industrial Area,21.2,29.2,NA,49
20006,April_1995,Tamil Nadu,Tuticorin,TNPC,Industrial Area,25.5,30.2,NA,55
20006,May_1995,Tamil Nadu,Tuticorin,TNPC,Industrial Area,4,14.6,NA,62
20006,June_1995,Tamil Nadu,Tuticorin,TNPC,Industrial Area,1,12.5,NA,111
20006,July_1995,Tamil Nadu,Tuticorin,TNPC,Industrial Area,2,10,NA,140
20006,September_1995,Tamil Nadu,Tuticorin,TNPC,Industrial Area,2.3,9.1,NA,95
20006,November_1995,Tamil Nadu,Tuticorin,TNPC,Industrial Area,2.8,10.6,NA,106
20006,December_1995,Tamil Nadu,Tuticorin,TNPC,Industrial Area,2.4,9.3,NA,108
20006,Annual_1995,Tamil Nadu,Tuticorin,TNPC,Industrial Area,7.1,15.5,NA,77
38,February_1995,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,70.5,21.9,NA,228
38,March_1995,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,28.9,14.3,NA,224
71,February_1995,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,60.4,33.9,NA,74
71,March_1995,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,30.3,16.7,NA,83
72,February_1995,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,38,15.9,NA,157
72,March_1995,Tamil Nadu,Madras,Tamil Nadu Pollution Control Board,Industrial Area,23.7,13.9,NA,95
159,January_1995,Tamil Nadu,Madras,NA,"Residential, Rural and other Areas",7.5,27,NA,127
